Bit#|Name                  |??|?|MaxValue|NewGame |Chapter2|Chapter3|Chapter4|Chapter5|EndGame |Note
----|----------------------|--|-|--------|--------|--------|--------|--------|--------|--------|----
0006|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0007|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0009|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
000A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
000B|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0011|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
001A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
001B|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
001C|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0020|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0021|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0022|                      |0C|1|       1|       0|       1|       1|       1|       1|       1|
0023|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0024|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0025|BoughtTrickysBall     |00|0|       1|       0|       0|       0|       0|       0|       1|separate from HaveTrickysBall
0026|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
0027|                      |28|1|       1|       0|       1|       1|       1|       1|       1|
0028|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
002A|                      |27|1|       1|       0|       1|       1|       1|       1|       1|
002B|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
002C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
002D|HaveFireballSpell     |0B|1|       1|       0|       1|       1|       1|       1|       1|
002E|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
002F|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0030|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0032|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0033|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0034|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0035|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0038|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0039|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
003A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
003B|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
