Bit#|Name                    |??|?|MaxValue|NewGame |Chapter2|Chapter3|Chapter4|Chapter5|EndGame |Note
----|------------------------|--|-|--------|--------|--------|--------|--------|--------|--------|----
0005|HaveTrickysBall         |00|0|       1|       0|       0|       0|       0|       1|       1|separate from BoughtTrickysBall
0008|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
000C|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0013|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0014|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0016|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0017|                        |00|0|       1|       0|       1|       1|       1|       1|       1|
001D|                        |00|0|       3|       0|       0|       0|       0|       0|       0|
001E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
001F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
003E|                        |00|0|       1|       0|       0|       1|       1|       1|       1|
0041|                        |52|1|       1|       0|       0|       1|       1|       1|       1|
0044|HavePrisonKey           |00|0|       1|       0|       0|       0|       0|       0|       0|
0045|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0046|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0047|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
004A|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0058|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0059|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
005A|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0062|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0063|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0064|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0065|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0067|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0068|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0069|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
006A|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
006B|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
006C|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0073|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0074|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0075|HaveStaff               |00|0|       1|       0|       1|       1|       1|       1|       1|
0076|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0077|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0079|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0092|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0093|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
0099|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00A0|                        |00|0|       1|       0|       1|       1|       1|       1|       1|
00A2|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00A3|                        |00|0|       1|       0|       0|       1|       1|       1|       1|
00A4|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00AE|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00AF|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00B0|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00BE|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00C4|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00C5|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00C6|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00C8|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00D5|                        |00|0|       F|       0|       0|       0|       0|       0|       0|
00DF|MapBitsHightop          |00|0|       F|       1|       1|       1|       1|       1|       1|
00E0|MapBitsDiscovery        |00|0|       F|       1|       1|       1|       1|       1|       1|
00E2|MapBitsMazeCave         |00|0|       F|       1|       1|       1|       1|       1|       1|
00E4|MapBitsWarlock          |00|0|       F|       1|       1|       2|       3|       4|       6|Krazoa Palace
00E5|MapBitsFortress         |00|0|       F|       1|       1|       1|       1|       1|       1|
00E6|MapBitsWallCity         |00|0|       F|       1|       1|       1|       1|       1|       2|
00E7|MapBitsSwapCircle       |00|0|       F|       1|       1|       1|       6|       6|       6|LightFoot Village
00E8|MapBitsCloudTreasure    |00|0|       F|       1|       1|       1|       1|       1|       1|
00E9|MapBitsCloudDungeon     |00|0|       F|       1|       1|       0|       0|       0|       0|
00EA|MapBitsCloudTrap        |00|0|       F|       1|       1|       1|       1|       1|       1|
00EB|MapBitsMoonPass         |00|0|       F|       1|       1|       2|       2|       2|       2|
00ED|MapBitsIceMountain      |00|0|       F|       1|       2|       2|       2|       2|       2|newicemount, newicemount2, newicemount3
00EF|MapBitsDfShrine         |00|0|       F|       1|       1|       1|       1|       1|       1|
00F0|MapBitsAnimTest         |00|0|       F|       1|       1|       1|       1|       1|       1|
00F5|                        |00|0|       1|       0|       0|       0|       0|       1|       1|
00FC|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
