Bit#|Name                    |??|?|MaxValue|NewGame |Chapter2|Chapter3|Chapter4|Chapter5|EndGame |Note
----|------------------------|--|-|--------|--------|--------|--------|--------|--------|--------|----
0000|CantCallTricky          |00|0|       1|       1|       0|       0|       0|       0|       0|
0001|HaveTrickyFind          |00|0|       1|       0|       0|       0|       0|       0|       0|
0002|HaveCallTricky          |00|0|       1|       0|       0|       0|       0|       0|       0|
0003|HaveTrickyStay          |00|0|       1|       0|       0|       0|       0|       0|       0|
0004|HaveTrickyFlame         |00|0|       1|       0|       0|       0|       0|       0|       0|
000D|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
000E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
000F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0010|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0012|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0015|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
0018|ClimbOnSnowHorn         |00|0|       1|       0|       0|       0|       0|       0|       0|climbing onto SnowHorn (will warp you to nearby one)
0019|ClimbOffSnowHorn        |00|0|       1|       0|       0|       0|       0|       0|       0|
0029|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
0031|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0036|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0037|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
003C|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
003D|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
003F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0042|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0049|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
005E|                        |00|0|  FFFFFF|       0|       0|       0|       0|       0|       0|
0061|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0066|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
007D|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
007E|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
007F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0080|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
008C|                        |00|0|      FF|       0|       0|       0|       0|       0|       0|
0095|Always1                 |00|0|       1|       0|       0|       0|       0|       0|       0|used for always-available shop items
0096|Always0                 |00|0|       1|       0|       0|       0|       0|       0|       0|used for never-available (unused) shop items
009A|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
009B|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
009C|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
009D|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
009F|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00A5|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00A7|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00AB|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
00B1|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B2|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B3|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B5|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B6|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B7|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B8|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00B9|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00BA|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00BB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00BC|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00C0|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00CF|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00F6|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00F7|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00F8|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00F9|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00FA|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00FB|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
00FD|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0108|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
0109|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
010A|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
010B|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
010C|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
010D|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
010E|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
010F|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
0110|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
0117|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
0118|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
011B|                        |00|0|       1|       0|       0|       0|       0|       0|       0|
011C|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
011D|                        |00|0|       1|       1|       0|       0|       0|       0|       0|
